question,answer
What region does Bhindi masala belong to?,North
In which region is Bhindi masala popular?,North
What is the flavor profile of Bhindi masala?,spicy
How does Bhindi masala taste?,spicy
What flavor does Bhindi masala have?,spicy
What is the food category of Bhindi masala?,main course
In which course is Bhindi masala typically served?,main course
Is Bhindi masala a main dish or a side dish?,main course
What ingredients are needed to prepare Biryani?,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
What are the required ingredients to make Biryani?,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
What is Biryani made of?,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
What is the dietary type of Biryani?,non vegetarian
Is Biryani vegetarian or non-vegetarian?,non vegetarian
What diet category does Biryani belong to?,non vegetarian
How long does it take to prepare Biryani?,30 minutes
What is the preparation time for Biryani?,30 minutes
How many minutes does it take to prepare Biryani?,30 minutes
How long does it take to cook Biryani?,120 minutes
What is the cooking time for Biryani?,120 minutes
How many minutes does it take to cook Biryani?,120 minutes
What is the origin of Biryani?,Telangana
In which state was Biryani created?,Telangana
Which state does Biryani belong to?,Telangana
In which region is Biryani prepared?,South
What region does Biryani belong to?,South
In which region is Biryani popular?,South
What is the flavor profile of Biryani?,spicy
How does Biryani taste?,spicy
What flavor does Biryani have?,spicy
What is the food category of Biryani?,main course
In which course is Biryani typically served?,main course
Is Biryani a main dish or a side dish?,main course
What ingredients are needed to prepare Butter chicken?,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
What are the required ingredients to make Butter chicken?,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
What is Butter chicken made of?,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
What is the dietary type of Butter chicken?,non vegetarian
Is Butter chicken vegetarian or non-vegetarian?,non vegetarian
What diet category does Butter chicken belong to?,non vegetarian
How long does it take to prepare Butter chicken?,10 minutes
What is the preparation time for Butter chicken?,10 minutes
How many minutes does it take to prepare Butter chicken?,10 minutes
How long does it take to cook Butter chicken?,35 minutes
What is the cooking time for Butter chicken?,35 minutes
How many minutes does it take to cook Butter chicken?,35 minutes
What is the origin of Butter chicken?,NCT of Delhi
In which state was Butter chicken created?,NCT of Delhi
Which state does Butter chicken belong to?,NCT of Delhi
In which region is Butter chicken prepared?,North
What region does Butter chicken belong to?,North
In which region is Butter chicken popular?,North
What is the flavor profile of Butter chicken?,spicy
How does Butter chicken taste?,spicy
What flavor does Butter chicken have?,spicy
What is the food category of Butter chicken?,main course
In which course is Butter chicken typically served?,main course
Is Butter chicken a main dish or a side dish?,main course
What ingredients are needed to prepare Chana masala?,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
What are the required ingredients to make Chana masala?,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
What is Chana masala made of?,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
What is the dietary type of Chana masala?,vegetarian
Is Chana masala vegetarian or non-vegetarian?,vegetarian
What diet category does Chana masala belong to?,vegetarian
How long does it take to prepare Chana masala?,20 minutes
What is the preparation time for Chana masala?,20 minutes
How many minutes does it take to prepare Chana masala?,20 minutes
How long does it take to cook Chana masala?,30 minutes
What is the cooking time for Chana masala?,30 minutes
How many minutes does it take to cook Chana masala?,30 minutes
What is the origin of Chana masala?,Punjab
In which state was Chana masala created?,Punjab
Which state does Chana masala belong to?,Punjab
In which region is Chana masala prepared?,North
What region does Chana masala belong to?,North
In which region is Chana masala popular?,North
What is the flavor profile of Chana masala?,spicy
How does Chana masala taste?,spicy
What flavor does Chana masala have?,spicy
What is the food category of Chana masala?,main course
In which course is Chana masala typically served?,main course
Is Chana masala a main dish or a side dish?,main course
What ingredients are needed to prepare Chapati?,"Whole wheat flour, olive oil, hot water, all purpose flour"
What are the required ingredients to make Chapati?,"Whole wheat flour, olive oil, hot water, all purpose flour"
What is Chapati made of?,"Whole wheat flour, olive oil, hot water, all purpose flour"
What is the dietary type of Chapati?,vegetarian
Is Chapati vegetarian or non-vegetarian?,vegetarian
What diet category does Chapati belong to?,vegetarian
How long does it take to prepare Chapati?,10 minutes
What is the preparation time for Chapati?,10 minutes
How many minutes does it take to prepare Chapati?,10 minutes
How long does it take to cook Chapati?,10 minutes
What is the cooking time for Chapati?,10 minutes
How many minutes does it take to cook Chapati?,10 minutes
What is the origin of Chapati?,Maharashtra
In which state was Chapati created?,Maharashtra
Which state does Chapati belong to?,Maharashtra
In which region is Chapati prepared?,West
What region does Chapati belong to?,West
In which region is Chapati popular?,West
What is the flavor profile of Chapati?,-1
How does Chapati taste?,-1
What flavor does Chapati have?,-1
What is the food category of Chapati?,main course
In which course is Chapati typically served?,main course
Is Chapati a main dish or a side dish?,main course
What ingredients are needed to prepare Chicken razala?,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
What are the required ingredients to make Chicken razala?,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
What is Chicken razala made of?,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
What is the dietary type of Chicken razala?,non vegetarian
Is Chicken razala vegetarian or non-vegetarian?,non vegetarian
What diet category does Chicken razala belong to?,non vegetarian
How long does it take to prepare Chicken razala?,10 minutes
What is the preparation time for Chicken razala?,10 minutes
How many minutes does it take to prepare Chicken razala?,10 minutes
How long does it take to cook Chicken razala?,35 minutes
What is the cooking time for Chicken razala?,35 minutes
How many minutes does it take to cook Chicken razala?,35 minutes
What is the origin of Chicken razala?,West Bengal
In which state was Chicken razala created?,West Bengal
Which state does Chicken razala belong to?,West Bengal
In which region is Chicken razala prepared?,East
What region does Chicken razala belong to?,East
In which region is Chicken razala popular?,East
What is the flavor profile of Chicken razala?,spicy
How does Chicken razala taste?,spicy
What flavor does Chicken razala have?,spicy
What is the food category of Chicken razala?,main course
In which course is Chicken razala typically served?,main course
Is Chicken razala a main dish or a side dish?,main course
What ingredients are needed to prepare Chicken Tikka masala?,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
What are the required ingredients to make Chicken Tikka masala?,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
What is Chicken Tikka masala made of?,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
What is the dietary type of Chicken Tikka masala?,non vegetarian
Is Chicken Tikka masala vegetarian or non-vegetarian?,non vegetarian
What diet category does Chicken Tikka masala belong to?,non vegetarian
How long does it take to prepare Chicken Tikka masala?,10 minutes
What is the preparation time for Chicken Tikka masala?,10 minutes
How many minutes does it take to prepare Chicken Tikka masala?,10 minutes
How long does it take to cook Chicken Tikka masala?,50 minutes
What is the cooking time for Chicken Tikka masala?,50 minutes
How many minutes does it take to cook Chicken Tikka masala?,50 minutes
What is the origin of Chicken Tikka masala?,Punjab
In which state was Chicken Tikka masala created?,Punjab
Which state does Chicken Tikka masala belong to?,Punjab
In which region is Chicken Tikka masala prepared?,North
What region does Chicken Tikka masala belong to?,North
In which region is Chicken Tikka masala popular?,North
What is the flavor profile of Chicken Tikka masala?,spicy
How does Chicken Tikka masala taste?,spicy
What flavor does Chicken Tikka masala have?,spicy
What is the food category of Chicken Tikka masala?,main course
In which course is Chicken Tikka masala typically served?,main course
Is Chicken Tikka masala a main dish or a side dish?,main course
What ingredients are needed to prepare Chicken Tikka?,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
What are the required ingredients to make Chicken Tikka?,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
What is Chicken Tikka made of?,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
What is the dietary type of Chicken Tikka?,non vegetarian
Is Chicken Tikka vegetarian or non-vegetarian?,non vegetarian
What diet category does Chicken Tikka belong to?,non vegetarian
How long does it take to prepare Chicken Tikka?,120 minutes
What is the preparation time for Chicken Tikka?,120 minutes
How many minutes does it take to prepare Chicken Tikka?,120 minutes
How long does it take to cook Chicken Tikka?,45 minutes
What is the cooking time for Chicken Tikka?,45 minutes
How many minutes does it take to cook Chicken Tikka?,45 minutes
What is the origin of Chicken Tikka?,Punjab
In which state was Chicken Tikka created?,Punjab
Which state does Chicken Tikka belong to?,Punjab
In which region is Chicken Tikka prepared?,North
What region does Chicken Tikka belong to?,North
In which region is Chicken Tikka popular?,North
What is the flavor profile of Chicken Tikka?,spicy
How does Chicken Tikka taste?,spicy
What flavor does Chicken Tikka have?,spicy
What is the food category of Chicken Tikka?,starter
In which course is Chicken Tikka typically served?,starter
Is Chicken Tikka a main dish or a side dish?,starter
What ingredients are needed to prepare Chole bhature?,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
What are the required ingredients to make Chole bhature?,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
What is Chole bhature made of?,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
What is the dietary type of Chole bhature?,vegetarian
Is Chole bhature vegetarian or non-vegetarian?,vegetarian
What diet category does Chole bhature belong to?,vegetarian
How long does it take to prepare Chole bhature?,20 minutes
What is the preparation time for Chole bhature?,20 minutes
How many minutes does it take to prepare Chole bhature?,20 minutes
How long does it take to cook Chole bhature?,30 minutes
What is the cooking time for Chole bhature?,30 minutes
How many minutes does it take to cook Chole bhature?,30 minutes
What is the origin of Chole bhature?,Punjab
In which state was Chole bhature created?,Punjab
Which state does Chole bhature belong to?,Punjab
In which region is Chole bhature prepared?,North
What region does Chole bhature belong to?,North
In which region is Chole bhature popular?,North
What is the flavor profile of Chole bhature?,spicy
How does Chole bhature taste?,spicy
What flavor does Chole bhature have?,spicy
What is the food category of Chole bhature?,main course
In which course is Chole bhature typically served?,main course
Is Chole bhature a main dish or a side dish?,main course
What ingredients are needed to prepare Daal baati churma?,"Moong dal, masoor dal, chana dal, wheat flour, almond"
What are the required ingredients to make Daal baati churma?,"Moong dal, masoor dal, chana dal, wheat flour, almond"
What is Daal baati churma made of?,"Moong dal, masoor dal, chana dal, wheat flour, almond"
What is the dietary type of Daal baati churma?,vegetarian
Is Daal baati churma vegetarian or non-vegetarian?,vegetarian
What diet category does Daal baati churma belong to?,vegetarian
How long does it take to prepare Daal baati churma?,10 minutes
What is the preparation time for Daal baati churma?,10 minutes
How many minutes does it take to prepare Daal baati churma?,10 minutes
How long does it take to cook Daal baati churma?,90 minutes
What is the cooking time for Daal baati churma?,90 minutes
How many minutes does it take to cook Daal baati churma?,90 minutes
What is the origin of Daal baati churma?,Rajasthan
In which state was Daal baati churma created?,Rajasthan
Which state does Daal baati churma belong to?,Rajasthan
In which region is Daal baati churma prepared?,West
What region does Daal baati churma belong to?,West
In which region is Daal baati churma popular?,West
What is the flavor profile of Daal baati churma?,spicy
How does Daal baati churma taste?,spicy
What flavor does Daal baati churma have?,spicy
What is the food category of Daal baati churma?,main course
In which course is Daal baati churma typically served?,main course
Is Daal baati churma a main dish or a side dish?,main course
What ingredients are needed to prepare Daal puri?,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
What are the required ingredients to make Daal puri?,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
What is Daal puri made of?,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
What is the dietary type of Daal puri?,vegetarian
Is Daal puri vegetarian or non-vegetarian?,vegetarian
What diet category does Daal puri belong to?,vegetarian
How long does it take to prepare Daal puri?,30 minutes
What is the preparation time for Daal puri?,30 minutes
How many minutes does it take to prepare Daal puri?,30 minutes
How long does it take to cook Daal puri?,30 minutes
What is the cooking time for Daal puri?,30 minutes
How many minutes does it take to cook Daal puri?,30 minutes
What is the origin of Daal puri?,West Bengal
In which state was Daal puri created?,West Bengal
Which state does Daal puri belong to?,West Bengal
In which region is Daal puri prepared?,East
What region does Daal puri belong to?,East
In which region is Daal puri popular?,East
What is the flavor profile of Daal puri?,spicy
How does Daal puri taste?,spicy
What flavor does Daal puri have?,spicy
What is the food category of Daal puri?,main course
In which course is Daal puri typically served?,main course
Is Daal puri a main dish or a side dish?,main course
What ingredients are needed to prepare Dal makhani ?,"Red kidney beans, urad dal, cream, garam masala, chili powder"
What are the required ingredients to make Dal makhani ?,"Red kidney beans, urad dal, cream, garam masala, chili powder"
What is Dal makhani  made of?,"Red kidney beans, urad dal, cream, garam masala, chili powder"
What is the dietary type of Dal makhani ?,vegetarian
Is Dal makhani  vegetarian or non-vegetarian?,vegetarian
What diet category does Dal makhani  belong to?,vegetarian
How long does it take to prepare Dal makhani ?,10 minutes
What is the preparation time for Dal makhani ?,10 minutes
How many minutes does it take to prepare Dal makhani ?,10 minutes
How long does it take to cook Dal makhani ?,60 minutes
What is the cooking time for Dal makhani ?,60 minutes
How many minutes does it take to cook Dal makhani ?,60 minutes
What is the origin of Dal makhani ?,Punjab
In which state was Dal makhani  created?,Punjab
Which state does Dal makhani  belong to?,Punjab
In which region is Dal makhani  prepared?,North
What region does Dal makhani  belong to?,North
In which region is Dal makhani  popular?,North
What is the flavor profile of Dal makhani ?,sweet
How does Dal makhani  taste?,sweet
What flavor does Dal makhani  have?,sweet
What is the food category of Dal makhani ?,main course
In which course is Dal makhani  typically served?,main course
Is Dal makhani  a main dish or a side dish?,main course
What ingredients are needed to prepare Dal tadka?,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
What are the required ingredients to make Dal tadka?,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
What is Dal tadka made of?,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
What is the dietary type of Dal tadka?,vegetarian
Is Dal tadka vegetarian or non-vegetarian?,vegetarian
What diet category does Dal tadka belong to?,vegetarian
How long does it take to prepare Dal tadka?,10 minutes
What is the preparation time for Dal tadka?,10 minutes
How many minutes does it take to prepare Dal tadka?,10 minutes
How long does it take to cook Dal tadka?,30 minutes
What is the cooking time for Dal tadka?,30 minutes
How many minutes does it take to cook Dal tadka?,30 minutes
What is the origin of Dal tadka?,Punjab
In which state was Dal tadka created?,Punjab
Which state does Dal tadka belong to?,Punjab
In which region is Dal tadka prepared?,North
What region does Dal tadka belong to?,North
In which region is Dal tadka popular?,North
What is the flavor profile of Dal tadka?,spicy
How does Dal tadka taste?,spicy
What flavor does Dal tadka have?,spicy
What is the food category of Dal tadka?,main course
In which course is Dal tadka typically served?,main course
Is Dal tadka a main dish or a side dish?,main course
What ingredients are needed to prepare Dum aloo?,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
What are the required ingredients to make Dum aloo?,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
What is Dum aloo made of?,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
What is the dietary type of Dum aloo?,vegetarian
Is Dum aloo vegetarian or non-vegetarian?,vegetarian
What diet category does Dum aloo belong to?,vegetarian
How long does it take to prepare Dum aloo?,20 minutes
What is the preparation time for Dum aloo?,20 minutes
How many minutes does it take to prepare Dum aloo?,20 minutes
How long does it take to cook Dum aloo?,50 minutes
What is the cooking time for Dum aloo?,50 minutes
How many minutes does it take to cook Dum aloo?,50 minutes
What is the origin of Dum aloo?,Jammu & Kashmir
In which state was Dum aloo created?,Jammu & Kashmir
Which state does Dum aloo belong to?,Jammu & Kashmir
In which region is Dum aloo prepared?,North
What region does Dum aloo belong to?,North
In which region is Dum aloo popular?,North
What is the flavor profile of Dum aloo?,spicy
How does Dum aloo taste?,spicy
What flavor does Dum aloo have?,spicy
What is the food category of Dum aloo?,main course
In which course is Dum aloo typically served?,main course
Is Dum aloo a main dish or a side dish?,main course
What ingredients are needed to prepare Poha?,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
What are the required ingredients to make Poha?,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
What is Poha made of?,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
What is the dietary type of Poha?,vegetarian
Is Poha vegetarian or non-vegetarian?,vegetarian
What diet category does Poha belong to?,vegetarian
How long does it take to prepare Poha?,20 minutes
What is the preparation time for Poha?,20 minutes
How many minutes does it take to prepare Poha?,20 minutes
How long does it take to cook Poha?,30 minutes
What is the cooking time for Poha?,30 minutes
How many minutes does it take to cook Poha?,30 minutes
What is the origin of Poha?,Maharashtra
In which state was Poha created?,Maharashtra
Which state does Poha belong to?,Maharashtra
In which region is Poha prepared?,West
What region does Poha belong to?,West
In which region is Poha popular?,West
What is the flavor profile of Poha?,spicy
How does Poha taste?,spicy
What flavor does Poha have?,spicy
What is the food category of Poha?,snack
In which course is Poha typically served?,snack
Is Poha a main dish or a side dish?,snack
What ingredients are needed to prepare Fara?,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
What are the required ingredients to make Fara?,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
What is Fara made of?,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
What is the dietary type of Fara?,vegetarian
Is Fara vegetarian or non-vegetarian?,vegetarian
What diet category does Fara belong to?,vegetarian
How long does it take to prepare Fara?,10 minutes
What is the preparation time for Fara?,10 minutes
How many minutes does it take to prepare Fara?,10 minutes
How long does it take to cook Fara?,60 minutes
What is the cooking time for Fara?,60 minutes
How many minutes does it take to cook Fara?,60 minutes
What is the origin of Fara?,Chhattisgarh
In which state was Fara created?,Chhattisgarh
Which state does Fara belong to?,Chhattisgarh
In which region is Fara prepared?,Central
What region does Fara belong to?,Central
In which region is Fara popular?,Central
What is the flavor profile of Fara?,spicy
How does Fara taste?,spicy
What flavor does Fara have?,spicy
What is the food category of Fara?,snack
In which course is Fara typically served?,snack
Is Fara a main dish or a side dish?,snack
What ingredients are needed to prepare Kachori?,"Moong dal, rava, garam masala, dough, fennel seeds"
What are the required ingredients to make Kachori?,"Moong dal, rava, garam masala, dough, fennel seeds"
What is Kachori made of?,"Moong dal, rava, garam masala, dough, fennel seeds"
What is the dietary type of Kachori?,vegetarian
Is Kachori vegetarian or non-vegetarian?,vegetarian
What diet category does Kachori belong to?,vegetarian
How long does it take to prepare Kachori?,30 minutes
What is the preparation time for Kachori?,30 minutes
How many minutes does it take to prepare Kachori?,30 minutes
How long does it take to cook Kachori?,60 minutes
What is the cooking time for Kachori?,60 minutes
How many minutes does it take to cook Kachori?,60 minutes
What is the origin of Kachori?,Uttar Pradesh
In which state was Kachori created?,Uttar Pradesh
Which state does Kachori belong to?,Uttar Pradesh
In which region is Kachori prepared?,North
What region does Kachori belong to?,North
In which region is Kachori popular?,North
What is the flavor profile of Kachori?,spicy
How does Kachori taste?,spicy
What flavor does Kachori have?,spicy
What is the food category of Kachori?,snack
In which course is Kachori typically served?,snack
Is Kachori a main dish or a side dish?,snack
What ingredients are needed to prepare Kadai paneer?,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
What are the required ingredients to make Kadai paneer?,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
What is Kadai paneer made of?,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
What is the dietary type of Kadai paneer?,vegetarian
Is Kadai paneer vegetarian or non-vegetarian?,vegetarian
What diet category does Kadai paneer belong to?,vegetarian
How long does it take to prepare Kadai paneer?,20 minutes
What is the preparation time for Kadai paneer?,20 minutes
How many minutes does it take to prepare Kadai paneer?,20 minutes
How long does it take to cook Kadai paneer?,30 minutes
What is the cooking time for Kadai paneer?,30 minutes
How many minutes does it take to cook Kadai paneer?,30 minutes
What is the origin of Kadai paneer?,Punjab
In which state was Kadai paneer created?,Punjab
Which state does Kadai paneer belong to?,Punjab
In which region is Kadai paneer prepared?,North
What region does Kadai paneer belong to?,North
In which region is Kadai paneer popular?,North
What is the flavor profile of Kadai paneer?,spicy
How does Kadai paneer taste?,spicy
What flavor does Kadai paneer have?,spicy
What is the food category of Kadai paneer?,main course
In which course is Kadai paneer typically served?,main course
Is Kadai paneer a main dish or a side dish?,main course
What ingredients are needed to prepare Kadhi pakoda?,"Besan, garam masala powder, gram flour, ginger, curry leaves"
What are the required ingredients to make Kadhi pakoda?,"Besan, garam masala powder, gram flour, ginger, curry leaves"
What is Kadhi pakoda made of?,"Besan, garam masala powder, gram flour, ginger, curry leaves"
What is the dietary type of Kadhi pakoda?,vegetarian
Is Kadhi pakoda vegetarian or non-vegetarian?,vegetarian
What diet category does Kadhi pakoda belong to?,vegetarian
How long does it take to prepare Kadhi pakoda?,10 minutes
What is the preparation time for Kadhi pakoda?,10 minutes
How many minutes does it take to prepare Kadhi pakoda?,10 minutes
How long does it take to cook Kadhi pakoda?,60 minutes
What is the cooking time for Kadhi pakoda?,60 minutes
How many minutes does it take to cook Kadhi pakoda?,60 minutes
What is the origin of Kadhi pakoda?,Haryana
In which state was Kadhi pakoda created?,Haryana
Which state does Kadhi pakoda belong to?,Haryana
In which region is Kadhi pakoda prepared?,North
What region does Kadhi pakoda belong to?,North
In which region is Kadhi pakoda popular?,North
What is the flavor profile of Kadhi pakoda?,spicy
How does Kadhi pakoda taste?,spicy
What flavor does Kadhi pakoda have?,spicy
What is the food category of Kadhi pakoda?,main course
In which course is Kadhi pakoda typically served?,main course
Is Kadhi pakoda a main dish or a side dish?,main course
What ingredients are needed to prepare Karela bharta?,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
What are the required ingredients to make Karela bharta?,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
What is Karela bharta made of?,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
What is the dietary type of Karela bharta?,vegetarian
Is Karela bharta vegetarian or non-vegetarian?,vegetarian
What diet category does Karela bharta belong to?,vegetarian
How long does it take to prepare Karela bharta?,20 minutes
What is the preparation time for Karela bharta?,20 minutes
How many minutes does it take to prepare Karela bharta?,20 minutes
How long does it take to cook Karela bharta?,50 minutes
What is the cooking time for Karela bharta?,50 minutes
How many minutes does it take to cook Karela bharta?,50 minutes
What is the origin of Karela bharta?,Punjab
In which state was Karela bharta created?,Punjab
Which state does Karela bharta belong to?,Punjab
In which region is Karela bharta prepared?,North
What region does Karela bharta belong to?,North
In which region is Karela bharta popular?,North
What is the flavor profile of Karela bharta?,bitter
How does Karela bharta taste?,bitter
What flavor does Karela bharta have?,bitter
What is the food category of Karela bharta?,main course
In which course is Karela bharta typically served?,main course
Is Karela bharta a main dish or a side dish?,main course
What ingredients are needed to prepare Khichdi?,"Moong dal, green peas, ginger, tomato, green chili"
What are the required ingredients to make Khichdi?,"Moong dal, green peas, ginger, tomato, green chili"
What is Khichdi made of?,"Moong dal, green peas, ginger, tomato, green chili"
What is the dietary type of Khichdi?,vegetarian
Is Khichdi vegetarian or non-vegetarian?,vegetarian
What diet category does Khichdi belong to?,vegetarian
How long does it take to prepare Khichdi?,40 minutes
What is the preparation time for Khichdi?,40 minutes
How many minutes does it take to prepare Khichdi?,40 minutes
How long does it take to cook Khichdi?,20 minutes
What is the cooking time for Khichdi?,20 minutes
How many minutes does it take to cook Khichdi?,20 minutes
What is the origin of Khichdi?,-1
In which state was Khichdi created?,-1
Which state does Khichdi belong to?,-1
In which region is Khichdi prepared?,-1
What region does Khichdi belong to?,-1
In which region is Khichdi popular?,-1
What is the flavor profile of Khichdi?,spicy
How does Khichdi taste?,spicy
What flavor does Khichdi have?,spicy
What is the food category of Khichdi?,main course
In which course is Khichdi typically served?,main course
Is Khichdi a main dish or a side dish?,main course
What ingredients are needed to prepare Kofta?,"Paneer, potato, cream, corn flour, garam masala"
What are the required ingredients to make Kofta?,"Paneer, potato, cream, corn flour, garam masala"
What is Kofta made of?,"Paneer, potato, cream, corn flour, garam masala"
What is the dietary type of Kofta?,vegetarian
Is Kofta vegetarian or non-vegetarian?,vegetarian
What diet category does Kofta belong to?,vegetarian
How long does it take to prepare Kofta?,20 minutes
What is the preparation time for Kofta?,20 minutes
How many minutes does it take to prepare Kofta?,20 minutes
How long does it take to cook Kofta?,40 minutes
What is the cooking time for Kofta?,40 minutes
How many minutes does it take to cook Kofta?,40 minutes
What is the origin of Kofta?,Uttar Pradesh
In which state was Kofta created?,Uttar Pradesh
Which state does Kofta belong to?,Uttar Pradesh
In which region is Kofta prepared?,North
What region does Kofta belong to?,North
In which region is Kofta popular?,North
What is the flavor profile of Kofta?,spicy
How does Kofta taste?,spicy
What flavor does Kofta have?,spicy
What is the food category of Kofta?,main course
In which course is Kofta typically served?,main course
Is Kofta a main dish or a side dish?,main course
What ingredients are needed to prepare Kulfi falooda?,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
What are the required ingredients to make Kulfi falooda?,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
What is Kulfi falooda made of?,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
What is the dietary type of Kulfi falooda?,vegetarian
Is Kulfi falooda vegetarian or non-vegetarian?,vegetarian
What diet category does Kulfi falooda belong to?,vegetarian
How long does it take to prepare Kulfi falooda?,45 minutes
What is the preparation time for Kulfi falooda?,45 minutes
How many minutes does it take to prepare Kulfi falooda?,45 minutes
How long does it take to cook Kulfi falooda?,25 minutes
What is the cooking time for Kulfi falooda?,25 minutes
How many minutes does it take to cook Kulfi falooda?,25 minutes
What is the origin of Kulfi falooda?,-1
In which state was Kulfi falooda created?,-1
Which state does Kulfi falooda belong to?,-1
In which region is Kulfi falooda prepared?,-1
What region does Kulfi falooda belong to?,-1
In which region is Kulfi falooda popular?,-1
What is the flavor profile of Kulfi falooda?,sweet
How does Kulfi falooda taste?,sweet
What flavor does Kulfi falooda have?,sweet
What is the food category of Kulfi falooda?,dessert
In which course is Kulfi falooda typically served?,dessert
Is Kulfi falooda a main dish or a side dish?,dessert
What ingredients are needed to prepare Lauki ke kofte?,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
What are the required ingredients to make Lauki ke kofte?,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
What is Lauki ke kofte made of?,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
What is the dietary type of Lauki ke kofte?,vegetarian
Is Lauki ke kofte vegetarian or non-vegetarian?,vegetarian
What diet category does Lauki ke kofte belong to?,vegetarian
How long does it take to prepare Lauki ke kofte?,20 minutes
What is the preparation time for Lauki ke kofte?,20 minutes
How many minutes does it take to prepare Lauki ke kofte?,20 minutes
How long does it take to cook Lauki ke kofte?,40 minutes
What is the cooking time for Lauki ke kofte?,40 minutes
How many minutes does it take to cook Lauki ke kofte?,40 minutes
What is the origin of Lauki ke kofte?,Uttar Pradesh
In which state was Lauki ke kofte created?,Uttar Pradesh
Which state does Lauki ke kofte belong to?,Uttar Pradesh
In which region is Lauki ke kofte prepared?,North
What region does Lauki ke kofte belong to?,North
In which region is Lauki ke kofte popular?,North
What is the flavor profile of Lauki ke kofte?,spicy
How does Lauki ke kofte taste?,spicy
What flavor does Lauki ke kofte have?,spicy
What is the food category of Lauki ke kofte?,main course
In which course is Lauki ke kofte typically served?,main course
Is Lauki ke kofte a main dish or a side dish?,main course
What ingredients are needed to prepare Lauki ki subji?,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
What are the required ingredients to make Lauki ki subji?,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
What is Lauki ki subji made of?,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
What is the dietary type of Lauki ki subji?,vegetarian
Is Lauki ki subji vegetarian or non-vegetarian?,vegetarian
What diet category does Lauki ki subji belong to?,vegetarian
How long does it take to prepare Lauki ki subji?,10 minutes
What is the preparation time for Lauki ki subji?,10 minutes
How many minutes does it take to prepare Lauki ki subji?,10 minutes
How long does it take to cook Lauki ki subji?,20 minutes
What is the cooking time for Lauki ki subji?,20 minutes
How many minutes does it take to cook Lauki ki subji?,20 minutes
What is the origin of Lauki ki subji?,-1
In which state was Lauki ki subji created?,-1
Which state does Lauki ki subji belong to?,-1
In which region is Lauki ki subji prepared?,-1
What region does Lauki ki subji belong to?,-1
In which region is Lauki ki subji popular?,-1
What is the flavor profile of Lauki ki subji?,spicy
How does Lauki ki subji taste?,spicy
